Country,City,Year,AQI,PM2.5,PM10,Deforestation_Rate_%,Afforestation_Rate_%,Vehicles_Increase_%,Industries_Increase_%,Env_Budget_Million_USD,Population_Density_Per_SqKm,CO2_Emissions_MT,Green_Space_Ratio_%,Avg_Life_Expectancy_Index
Ethiopia,Mekelle,2021,42.6,29.79,33.32,2.66,0.83,5.05,4.24,21.25,298.98,125.72,39.54,82.2
Ethiopia,Mekelle,2021,113.95,75.98,121.15,6.27,0.73,7.08,1.7,74.59,2535.69,103.99,33.37,77.55
Ethiopia,Mekelle,2021,120.32,73.67,113.46,4.24,0.44,3.81,4.56,41.95,788.45,125.29,36.29,77.06
Ethiopia,Mekelle,2022,55.6,36.81,40.06,3.46,0.68,5.2,1.9,75.94,652.59,111.07,37.92,81.45
Ethiopia,Mekelle,2022,76.84,50.48,59.29,2.88,0.19,2.19,3.21,39.74,1735.76,64.35,35.97,79.96
Ethiopia,Mekelle,2022,60.63,28.52,47.72,3.34,0.3,4.72,3.61,65.39,812.6,124.32,36.75,81.09
Ethiopia,Mekelle,2022,65.23,32.1,70.55,4.04,0.54,2.46,1.35,58.98,2044.61,75.23,35.54,80.77
Ethiopia,Mekelle,2022,99.98,66.46,83.47,6.16,0.78,5.27,4.04,70.93,655.09,133.27,35.53,78.48
Ethiopia,Mekelle,2022,95.59,42.77,87.46,4.12,0.46,6.71,4.02,25.17,1624.15,107.51,35.64,78.68
Ethiopia,Mekelle,2022,51.94,30.35,52.41,3.57,0.13,4.4,1.09,21.07,1418.63,87.32,35.4,81.58
Ethiopia,Mekelle,2022,103.0,58.58,88.31,5.74,0.36,4.57,3.31,17.65,2839.04,117.22,32.51,78.17
Ethiopia,Mekelle,2022,124.57,61.09,125.28,4.41,0.93,3.55,4.56,71.64,387.42,122.16,38.01,76.84
Ethiopia,Mekelle,2022,137.14,74.09,100.61,5.67,0.28,6.94,1.09,22.62,1051.83,108.29,34.11,75.9
Ethiopia,Mekelle,2022,174.54,92.95,178.07,6.21,0.43,7.6,4.42,41.78,2634.63,157.02,32.46,73.45
Ethiopia,Mekelle,2022,128.67,73.4,135.23,5.82,0.44,7.19,3.26,40.99,3185.42,137.07,32.3,76.5
Ethiopia,Mekelle,2022,110.16,55.09,103.92,4.3,0.91,2.36,4.6,52.41,2527.42,114.51,35.89,77.76
Ethiopia,Mekelle,2022,64.7,33.14,49.06,3.68,0.8,7.08,4.06,51.29,1362.18,133.52,37.37,80.79
Ethiopia,Mekelle,2022,134.84,93.86,134.85,5.44,0.26,6.09,2.88,27.54,1440.04,99.99,33.9,76.07
Ethiopia,Mekelle,2022,77.06,33.87,57.72,4.11,0.73,2.17,3.13,69.72,1090.2,72.35,36.99,80.0
Ethiopia,Mekelle,2022,138.08,73.49,125.17,6.74,0.29,3.78,4.73,67.6,2092.01,120.08,32.04,75.93
Ethiopia,Mekelle,2022,141.65,92.13,107.68,5.76,0.6,4.99,2.32,70.07,2294.39,101.52,33.73,75.7
Ethiopia,Mekelle,2022,103.35,64.3,103.26,6.92,0.7,2.71,3.78,68.89,1933.4,83.82,33.24,78.25
Ethiopia,Mekelle,2023,128.48,75.69,94.43,4.8,0.77,2.69,4.89,22.1,713.26,93.06,36.81,76.48
Ethiopia,Mekelle,2023,152.75,93.54,166.48,6.4,0.14,2.33,3.78,42.33,3420.41,97.91,30.61,74.9
Ethiopia,Mekelle,2023,108.7,54.84,117.84,5.31,0.6,4.62,2.31,36.2,1032.62,83.02,35.46,77.83
Ethiopia,Mekelle,2023,100.3,51.26,80.29,3.63,0.39,3.36,1.69,61.34,2828.47,64.1,34.7,78.44
Ethiopia,Mekelle,2023,119.67,65.73,100.53,4.5,0.5,2.96,4.26,13.65,2636.78,96.14,34.35,77.05
Ethiopia,Mekelle,2023,96.76,53.32,68.07,3.23,0.32,5.04,2.19,36.81,1986.55,76.96,35.73,78.62
Ethiopia,Mekelle,2023,73.16,36.44,67.53,3.77,0.39,5.14,3.54,55.12,3393.55,119.89,34.01,80.23
Ethiopia,Mekelle,2023,46.96,27.2,47.44,2.14,0.82,4.33,3.96,31.64,277.46,91.53,40.06,81.93
Ethiopia,Mekelle,2023,76.79,45.06,66.34,3.57,0.45,3.12,3.45,67.43,3860.56,106.6,33.9,80.02
Ethiopia,Mekelle,2023,127.6,51.88,94.17,6.39,0.19,6.7,2.0,46.34,419.84,120.4,33.76,76.59
Ethiopia,Mekelle,2023,111.38,72.49,90.15,5.88,0.27,3.36,1.92,72.95,487.57,73.95,34.44,77.72
Ethiopia,Mekelle,2023,90.83,58.6,87.62,6.23,0.44,3.01,2.82,47.83,433.58,92.46,34.65,79.04
Ethiopia,Mekelle,2023,109.61,46.09,101.78,5.56,0.2,2.95,2.02,59.55,1012.47,58.6,34.03,77.81
Ethiopia,Mekelle,2023,90.34,60.5,91.9,3.0,0.43,4.17,1.5,76.5,868.22,64.61,37.43,79.13
Ethiopia,Mekelle,2023,92.0,54.34,96.64,5.29,0.69,2.7,3.2,10.29,1308.39,93.62,35.47,78.89
Ethiopia,Mekelle,2023,124.94,75.55,110.8,3.92,0.21,4.77,4.49,37.2,814.23,96.01,35.91,76.75
Ethiopia,Mekelle,2023,67.09,29.15,61.15,2.47,0.28,3.53,3.53,49.97,416.07,111.16,37.96,80.63
Ethiopia,Mekelle,2023,142.62,70.75,115.91,3.34,0.34,7.49,4.23,23.17,3482.78,145.29,34.2,75.54
Ethiopia,Mekelle,2023,100.6,55.51,100.06,4.42,0.39,3.67,3.53,31.34,3714.07,103.22,33.03,78.36
France,Lyon,2014,15.0,8.66,11.08,0.69,4.98,4.25,4.96,1115.11,3343.69,103.6,50.9,86.23
France,Lyon,2014,34.04,15.34,29.49,0.9,4.78,6.68,2.45,762.7,3792.91,97.12,49.66,84.26
France,Lyon,2014,18.72,11.24,18.58,0.44,2.91,5.78,0.56,737.18,11549.15,102.82,36.75,85.23
France,Lyon,2014,32.57,14.02,27.37,0.12,4.16,4.95,2.61,863.17,5698.36,94.85,46.65,84.55
France,Lyon,2014,58.05,34.78,45.35,0.91,3.12,6.21,3.99,493.28,7804.65,121.67,40.66,82.12
France,Lyon,2014,77.14,41.88,74.03,0.45,2.88,4.26,3.4,376.46,11647.8,124.02,36.55,80.61
France,Lyon,2014,46.43,32.36,36.37,0.53,1.8,3.87,1.82,1053.68,7286.32,84.18,37.59,84.01
France,Lyon,2014,15.76,6.32,16.74,0.39,4.38,2.27,1.08,946.58,7628.01,84.74,45.13,85.84
France,Lyon,2014,15.77,10.68,12.2,0.26,4.91,3.68,1.82,498.38,6123.7,80.35,48.34,84.95
France,Lyon,2014,15.0,6.88,16.33,0.7,1.59,4.88,1.34,1190.53,5313.87,83.47,38.77,86.38
France,Lyon,2014,27.53,16.36,22.32,0.07,2.06,2.45,2.2,438.4,8016.07,106.45,38.1,84.04
France,Lyon,2014,15.0,9.01,14.77,0.34,2.77,2.58,1.09,878.53,10080.69,81.2,37.9,85.76
France,Lyon,2015,15.0,9.13,10.66,0.37,2.82,6.55,3.12,614.06,1520.17,100.56,46.58,85.23
France,Lyon,2015,30.33,15.12,32.8,1.01,3.69,5.26,2.67,363.88,7650.45,109.59,42.43,83.71
France,Lyon,2015,59.55,35.41,45.23,1.1,3.7,6.86,4.89,877.94,5835.55,144.81,44.18,82.79
France,Lyon,2015,15.0,7.42,14.15,0.25,2.04,6.02,3.31,1169.64,4344.53,104.99,41.52,86.34
France,Lyon,2015,65.44,31.36,62.27,0.44,3.55,2.88,4.86,425.22,11737.24,112.34,38.47,81.49
France,Lyon,2015,15.0,10.2,11.86,0.81,3.56,6.88,4.68,858.55,1447.45,149.66,48.42,85.72
France,Lyon,2015,15.0,7.84,10.71,0.41,4.29,4.57,1.66,1132.84,11273.85,118.88,41.18,86.27
France,Lyon,2015,83.29,55.04,61.11,0.44,4.37,6.02,2.61,336.24,9026.12,119.29,43.63,80.12
France,Lyon,2015,52.0,23.25,40.03,1.06,1.28,4.64,3.63,653.12,5750.21,101.58,37.03,82.84
France,Lyon,2015,28.27,14.62,21.18,0.76,1.82,2.82,1.98,931.3,5287.74,66.45,39.42,84.98
France,Lyon,2015,64.22,35.63,66.43,1.16,2.21,1.97,4.03,730.88,9548.82,95.2,35.91,82.18
France,Lyon,2015,25.12,11.09,23.25,1.1,2.43,3.75,3.93,1165.36,8786.68,126.26,37.41,85.66
France,Lyon,2015,15.0,9.25,12.44,1.16,3.77,1.58,1.72,1065.2,3633.82,64.65,46.52,86.13
France,Lyon,2015,105.32,58.26,97.04,1.09,1.84,6.37,2.17,537.33,8898.52,125.67,35.53,79.05
France,Lyon,2015,15.0,9.72,13.48,0.41,4.79,2.92,4.26,326.97,3628.94,120.25,50.34,84.65
France,Lyon,2015,70.67,32.03,64.56,0.68,2.73,6.1,2.97,982.74,8170.07,117.58,39.35,82.25
France,Lyon,2015,99.15,39.7,107.78,1.06,4.99,5.99,2.22,532.28,11834.56,108.65,42.09,79.45
France,Lyon,2015,34.25,16.08,34.28,0.72,3.68,4.22,3.45,397.56,3343.62,107.64,46.99,83.51
France,Lyon,2015,42.07,24.26,31.55,0.65,3.87,2.48,4.79,646.77,7890.09,119.71,43.07,83.49
France,Lyon,2015,26.41,16.55,24.44,0.85,3.78,2.83,2.96,995.25,3064.58,74.89,47.42,85.23
France,Lyon,2015,15.0,7.86,11.56,0.68,2.32,1.56,3.17,1105.99,2019.53,85.87,44.24,86.21
France,Lyon,2015,75.52,49.33,70.52,0.87,1.46,4.03,3.64,962.51,11639.85,138.5,31.88,81.89
France,Lyon,2016,65.55,30.72,48.22,0.71,1.28,6.01,2.2,320.67,5025.18,108.59,38.11,81.27
France,Lyon,2016,36.65,25.43,29.73,0.35,3.46,1.63,2.15,761.25,6623.18,84.05,43.39,84.08
France,Lyon,2016,15.0,8.07,12.59,0.09,4.67,4.01,2.89,935.65,2817.48,84.48,51.11,85.87
France,Lyon,2016,19.81,12.83,17.46,1.09,2.77,2.9,3.71,376.26,3559.56,108.24,43.66,84.43
France,Lyon,2016,35.37,19.68,35.3,1.0,3.25,5.0,3.9,1143.96,8185.79,143.79,40.56,84.93
France,Lyon,2016,15.0,10.43,11.05,0.66,1.99,3.89,1.07,423.1,3336.01,71.36,41.98,84.85
France,Lyon,2016,39.6,27.53,37.79,0.43,5.0,6.32,3.02,961.02,8389.49,109.97,46.18,84.28
France,Lyon,2016,59.86,32.85,42.11,1.2,1.62,1.51,4.91,513.28,1285.1,112.11,42.36,82.04
France,Lyon,2016,15.0,8.09,10.91,0.78,2.21,1.93,3.51,1050.79,5144.09,97.3,40.71,86.1
France,Lyon,2016,48.74,28.74,34.69,0.13,4.34,2.55,4.72,687.28,11046.51,102.69,41.84,83.13
France,Lyon,2016,52.71,30.71,46.29,0.06,1.43,6.12,3.2,776.44,4191.63,127.73,40.04,83.04
France,Lyon,2016,15.0,8.24,15.01,1.06,3.49,2.46,1.14,304.91,5532.5,66.43,43.88,84.61
France,Lyon,2016,17.2,10.59,12.05,0.1,2.61,3.0,2.77,738.62,10156.02,104.84,37.58,85.33
France,Lyon,2016,60.23,27.73,43.73,0.61,3.97,6.48,2.6,432.73,4003.92,111.74,47.28,81.85
France,Lyon,2016,26.74,12.07,24.36,0.86,4.55,5.14,4.46,895.65,10745.24,123.53,42.05,85.01
France,Lyon,2016,29.42,16.42,27.93,1.05,4.84,4.47,1.0,714.65,11489.19,107.73,41.98,84.47
France,Lyon,2016,15.0,8.73,10.67,0.51,1.64,4.03,3.59,729.35,1042.11,91.32,43.36,85.46
France,Lyon,2016,66.36,44.57,60.86,0.5,3.91,5.81,2.15,1030.72,11056.34,127.3,40.19,82.64
France,Lyon,2016,15.0,6.61,13.26,1.14,1.83,4.8,2.11,1159.5,6649.52,97.75,37.69,86.32
France,Lyon,2016,15.0,8.51,12.41,0.16,3.85,5.64,0.96,1056.16,1790.42,103.61,49.61,86.11
France,Lyon,2016,15.0,8.29,11.9,0.45,4.69,1.22,1.4,499.43,5892.85,66.5,47.73,85.0
France,Lyon,2016,15.0,6.21,13.22,0.92,2.62,6.57,1.81,919.34,1961.71,91.22,45.0,85.84
France,Lyon,2017,39.48,16.88,39.79,0.84,4.62,6.64,4.71,928.46,10167.59,143.76,42.86,84.23
France,Lyon,2017,46.54,19.42,50.96,0.26,2.31,3.97,4.77,519.57,4798.33,120.25,41.87,82.94
France,Lyon,2017,38.71,23.4,38.74,0.9,3.04,4.09,1.01,903.85,5240.37,76.53,42.97,84.23
France,Lyon,2017,33.71,22.17,33.89,0.68,2.6,5.17,0.93,1121.91,10753.27,97.47,36.37,85.0
France,Lyon,2017,97.72,53.11,88.38,0.81,2.61,3.37,2.92,444.24,8364.5,110.48,38.64,79.37
France,Lyon,2017,15.0,6.06,13.51,0.08,2.56,2.29,1.03,652.5,2254.61,47.0,45.33,85.3
France,Lyon,2017,45.41,31.51,42.69,0.43,4.08,1.13,4.06,532.01,9061.74,101.34,42.74,83.04
France,Lyon,2017,45.38,31.28,38.11,0.69,4.12,6.83,2.57,551.7,9196.97,121.98,42.49,83.08
France,Lyon,2017,94.57,52.41,103.63,0.75,1.27,6.36,1.12,396.63,7263.07,123.69,35.79,79.49
France,Lyon,2017,44.17,19.18,46.74,0.47,4.25,5.25,2.83,719.41,1860.36,113.47,50.41,83.49
France,Lyon,2017,46.75,29.25,46.43,0.94,2.43,4.11,1.07,416.9,5884.8,96.31,40.48,82.72
France,Lyon,2017,35.43,22.96,27.71,0.97,2.01,6.99,0.75,1148.7,4302.32,105.19,40.75,84.94
France,Lyon,2017,73.82,30.91,76.55,0.49,1.59,5.05,4.37,817.76,10626.27,153.61,33.64,81.71
France,Lyon,2017,45.86,18.67,40.89,0.86,3.11,4.64,3.49,303.5,1139.03,106.31,47.34,82.55
France,Lyon,2017,15.0,6.04,15.61,0.12,4.9,4.66,1.26,455.26,5890.37,103.07,48.7,84.91
France,Lyon,2017,17.96,12.29,14.24,0.2,1.58,4.81,3.88,1038.01,8831.74,127.94,35.7,85.88
France,Lyon,2018,38.79,23.63,35.21,1.1,1.29,4.18,4.82,503.28,6399.27,137.67,36.35,83.42
France,Lyon,2018,41.52,18.6,32.17,0.75,2.07,3.0,2.28,348.33,1123.21,66.12,44.34,82.93
France,Lyon,2018,37.01,24.51,34.71,0.22,2.7,3.3,0.73,743.52,10662.64,97.33,37.22,84.02
France,Lyon,2018,17.87,11.27,18.54,0.93,4.47,5.76,0.74,1165.25,7281.61,81.89,45.21,86.14
France,Lyon,2018,15.0,9.0,11.18,0.84,4.05,3.34,1.93,488.79,4255.62,101.17,47.04,84.98
France,Lyon,2018,26.82,18.0,19.48,0.57,1.5,6.09,3.74,1111.58,8150.23,114.16,35.78,85.44
France,Lyon,2018,22.51,9.47,17.48,0.63,4.94,2.56,2.0,933.92,10306.36,100.03,43.87,85.37
France,Lyon,2018,16.94,8.22,14.49,0.77,2.51,2.03,1.72,947.91,9578.46,87.63,37.19,85.77
France,Lyon,2018,59.15,33.82,64.46,0.64,2.08,3.85,1.69,648.33,7802.36,91.86,37.8,82.35
France,Lyon,2018,15.0,6.63,14.12,1.01,3.61,4.35,3.07,1147.87,2675.35,87.78,47.16,86.3
France,Lyon,2018,15.0,8.19,14.78,0.51,4.58,5.78,1.09,792.71,9683.94,101.92,43.55,85.59
France,Lyon,2018,15.0,7.79,10.5,0.28,4.39,5.92,1.33,334.51,2747.58,96.76,50.13,84.67
France,Lyon,2018,17.31,7.08,18.74,0.55,2.74,3.59,3.25,535.25,8686.33,99.05,38.97,84.92
France,Lyon,2018,15.0,9.73,11.98,1.09,3.68,4.37,1.61,1195.88,4132.0,77.74,45.82,86.39
France,Lyon,2019,15.0,7.85,15.0,1.19,4.13,1.83,0.82,777.28,8833.35,71.52,42.38,85.55
France,Lyon,2019,15.0,6.86,12.86,0.83,4.5,4.43,1.03,332.49,2314.51,82.83,50.36,84.66
France,Lyon,2019,24.29,10.17,18.79,1.13,3.47,4.48,4.73,1198.37,7630.6,116.27,41.64,85.78
France,Lyon,2019,15.0,8.45,12.59,0.12,4.45,4.18,3.98,1020.71,3354.84,126.96,49.88,86.04
France,Lyon,2019,20.66,14.05,17.32,0.45,4.31,6.81,2.01,702.72,5095.8,105.21,47.37,85.03
France,Lyon,2019,63.92,40.91,53.37,0.11,4.88,5.5,1.67,497.85,7161.39,120.36,47.36,81.73
France,Lyon,2019,15.0,7.78,11.68,1.15,3.07,3.2,1.29,917.25,3373.59,90.65,44.68,85.83
France,Lyon,2019,45.51,19.72,45.14,1.13,3.89,5.87,3.45,655.56,4780.38,140.63,45.77,83.28
France,Lyon,2019,15.0,6.27,15.6,1.02,3.09,6.64,1.32,914.84,6291.32,114.38,41.95,85.83
France,Lyon,2019,37.85,16.34,35.29,0.68,4.32,2.29,0.88,440.89,8815.58,60.93,43.46,83.36
France,Lyon,2019,15.0,8.92,11.17,0.47,4.99,2.88,1.57,824.04,5097.12,60.25,49.4,85.65
France,Lyon,2019,59.23,30.11,57.68,0.88,3.13,6.02,2.85,682.85,5120.6,111.46,43.38,82.42
France,Lyon,2019,15.0,8.12,15.78,0.46,1.77,4.25,1.43,1029.82,1616.06,65.88,43.23,86.06
France,Lyon,2019,15.0,6.52,15.07,0.97,3.64,3.85,4.6,837.92,4177.02,108.02,45.77,85.68
France,Lyon,2019,77.03,53.09,57.95,0.63,1.62,3.19,0.89,307.87,6136.23,64.29,38.08,80.48
France,Lyon,2019,22.98,9.79,16.25,0.67,3.25,5.52,1.84,816.98,6129.16,95.43,42.97,85.1
France,Lyon,2019,27.7,16.16,21.48,0.38,1.33,2.13,1.1,557.91,4257.43,56.09,39.35,84.27
France,Lyon,2019,52.99,22.25,47.11,1.14,2.08,1.75,4.34,1075.02,6734.77,109.39,38.37,83.62
France,Lyon,2019,98.75,65.76,102.61,0.79,3.29,3.6,3.19,552.39,11896.4,104.15,37.18,79.52
France,Lyon,2019,87.89,37.37,83.21,0.88,3.46,6.59,1.51,313.37,9241.34,124.32,40.27,79.77
France,Lyon,2019,43.72,22.98,37.08,1.09,4.15,4.83,0.77,614.84,2272.3,81.71,49.08,83.32
France,Lyon,2019,25.86,13.75,19.37,0.79,1.44,6.76,1.46,1033.51,9483.76,121.47,34.05,85.34
France,Lyon,2019,15.0,6.29,10.61,0.62,3.25,3.07,1.33,941.51,569.64,85.84,48.56,85.88
France,Lyon,2020,53.68,27.2,56.97,0.45,4.21,5.95,3.57,507.73,2765.98,102.66,49.43,82.44
France,Lyon,2020,15.0,10.06,15.74,0.14,2.99,6.24,2.03,1017.42,6252.71,110.47,42.59,86.03
France,Lyon,2020,51.37,26.62,45.26,0.58,1.58,3.05,2.86,718.44,10892.13,112.89,33.28,83.01
France,Lyon,2020,61.87,34.89,45.0,0.82,2.1,3.6,0.71,835.71,10999.87,78.86,34.49,82.55
France,Lyon,2020,35.06,22.65,28.35,1.12,4.09,1.44,4.26,517.19,2726.5,91.52,48.43,83.7
France,Lyon,2020,67.74,41.11,62.93,0.75,4.03,5.08,1.23,390.22,7880.95,88.24,43.44,81.26
France,Lyon,2020,22.01,12.43,18.19,0.56,4.39,6.46,1.18,902.81,11051.03,123.09,41.55,85.34
France,Lyon,2020,16.6,10.39,12.42,0.97,2.93,4.28,1.15,805.02,1977.34,80.8,45.83,85.5
France,Lyon,2020,57.12,37.94,52.48,0.12,1.93,6.93,3.12,498.13,8736.21,144.18,36.94,82.19
France,Lyon,2020,63.92,28.03,65.1,0.08,4.7,6.56,2.25,360.27,4328.19,124.52,49.68,81.46
France,Lyon,2020,63.94,39.58,57.56,0.95,2.64,6.79,3.59,845.35,10453.53,145.75,36.52,82.43
France,Lyon,2020,97.06,47.84,98.5,0.49,2.41,4.91,3.16,395.1,8641.5,100.99,38.09,79.32
France,Lyon,2020,19.91,10.26,14.94,0.27,2.32,4.73,2.85,605.09,1370.98,85.4,45.31,84.88
France,Lyon,2020,15.0,10.22,16.06,0.13,2.98,1.8,2.34,1034.3,2625.28,90.16,46.18,86.07
France,Lyon,2020,40.85,23.8,30.86,0.09,2.44,4.45,4.8,1001.77,3733.27,102.13,43.51,84.28
France,Lyon,2021,24.89,14.04,18.55,0.22,1.22,6.41,1.86,1008.5,8214.72,105.67,35.22,85.36
France,Lyon,2021,15.0,7.59,14.07,0.45,2.35,2.79,2.02,1186.25,1563.33,58.23,45.02,86.37
France,Lyon,2021,15.0,10.43,13.95,1.12,2.55,1.48,4.06,504.28,1757.73,91.48,44.78,85.01
France,Lyon,2021,107.65,54.67,86.76,1.06,2.04,2.44,2.01,368.54,9674.35,101.41,35.37,78.56
France,Lyon,2021,73.43,34.58,78.94,0.55,2.27,5.29,4.75,313.01,6599.55,142.8,39.67,80.73
France,Lyon,2021,35.02,21.23,37.79,0.71,3.02,3.33,4.8,1137.24,7808.41,117.21,40.54,84.94
France,Lyon,2021,15.0,10.29,12.72,0.18,4.7,3.89,0.87,726.5,11340.93,89.89,42.57,85.45
France,Lyon,2021,29.32,18.71,31.54,1.05,2.74,3.07,3.72,1002.8,901.03,91.06,46.26,85.05
France,Lyon,2021,57.9,38.53,45.94,0.3,1.98,3.94,1.02,519.75,7461.85,75.81,38.17,82.18
France,Lyon,2021,15.0,6.72,13.87,1.06,2.6,6.16,1.24,728.03,2066.92,113.41,44.67,85.46
France,Lyon,2021,51.42,26.62,39.34,0.55,2.21,2.39,1.25,741.47,10671.13,71.7,35.4,83.05
France,Lyon,2021,35.41,14.76,33.79,0.11,1.58,3.27,1.77,361.54,2829.42,82.24,41.81,83.36
France,Lyon,2022,40.8,25.75,43.83,0.77,4.82,6.09,0.85,640.22,11480.5,129.19,42.2,83.56
France,Lyon,2022,46.06,25.71,37.28,0.96,1.95,6.23,2.21,935.51,3405.66,127.01,41.49,83.8
France,Lyon,2022,15.0,8.55,13.87,0.66,4.62,2.72,4.45,737.22,2024.99,93.97,51.18,85.47
France,Lyon,2022,64.58,40.85,59.66,0.69,4.85,6.54,4.63,332.25,9855.46,142.33,43.99,81.36
France,Lyon,2022,15.0,8.4,11.07,0.83,4.03,2.57,1.24,1180.46,6893.9,59.23,44.37,86.36
France,Lyon,2022,80.77,35.73,78.0,0.95,2.98,5.71,4.18,591.51,8259.79,132.83,39.72,80.8
France,Lyon,2022,15.0,8.19,10.78,0.69,2.48,2.6,0.95,933.67,1198.93,62.26,45.54,85.87
France,Lyon,2022,19.89,10.88,20.37,0.87,3.84,1.31,3.41,899.69,9094.32,95.22,41.54,85.47
France,Lyon,2022,46.63,20.08,39.32,1.08,4.17,3.61,3.02,776.2,1645.52,80.51,49.8,83.44
France,Lyon,2022,62.72,40.07,64.15,0.91,3.34,3.66,2.9,832.72,10164.78,118.76,38.96,82.48
France,Lyon,2022,62.36,27.09,64.24,0.31,3.88,6.38,3.4,403.6,7417.8,111.01,43.9,81.65
France,Lyon,2022,45.32,29.22,38.76,0.59,4.65,4.47,1.41,429.28,1278.92,72.61,52.08,82.84
France,Lyon,2022,44.48,30.22,40.37,1.0,4.08,5.15,2.16,503.95,8382.45,95.63,42.85,83.04
France,Lyon,2022,23.6,11.26,25.93,1.16,4.12,5.48,2.07,1053.47,4894.94,124.13,46.29,85.53
France,Lyon,2022,15.0,7.39,11.89,0.91,5.0,2.87,1.68,560.78,1792.03,64.45,52.29,85.12
France,Lyon,2022,15.0,6.33,11.14,0.72,3.37,3.61,1.41,1079.83,6566.27,83.07,42.84,86.16
France,Lyon,2022,58.3,40.38,59.68,0.98,1.48,5.82,3.08,631.73,10913.12,115.4,32.54,82.38
France,Lyon,2023,33.11,18.34,28.73,0.23,1.43,3.26,2.56,1045.76,5166.9,96.89,38.91,84.88
France,Lyon,2023,67.68,46.64,47.58,1.04,1.41,4.79,1.3,662.24,7809.34,97.98,35.37,81.81
France,Lyon,2023,38.9,24.45,31.33,0.06,2.46,4.47,1.34,621.12,7823.38,103.45,39.51,83.65
France,Lyon,2023,15.0,9.36,14.64,0.37,3.66,1.48,3.24,536.15,3255.43,66.88,47.36,85.07
France,Lyon,2023,15.0,10.41,14.25,0.86,1.73,6.42,0.94,928.41,2796.34,97.18,41.52,85.86
France,Lyon,2023,46.58,29.52,49.49,0.1,3.64,6.68,2.95,425.67,3931.89,132.85,46.89,82.75
France,Lyon,2023,26.3,16.99,25.87,0.9,3.6,2.17,2.09,656.09,8240.62,66.31,41.67,84.56
France,Lyon,2023,92.91,59.48,79.36,0.77,1.48,6.95,4.43,1074.43,6659.25,156.56,37.01,80.96
France,Lyon,2023,82.13,50.52,76.33,0.05,2.22,5.46,4.98,710.68,7422.78,142.44,39.17,80.95
France,Lyon,2023,50.12,33.52,51.29,0.16,2.27,3.94,4.55,1165.7,7520.17,105.11,39.12,83.99
France,Lyon,2023,39.15,20.86,33.79,1.17,3.48,3.93,1.39,344.96,1400.67,82.4,47.86,83.08
France,Lyon,2023,25.24,15.66,25.75,0.18,3.28,3.49,1.11,1049.78,6213.14,81.11,43.45,85.42
France,Lyon,2023,15.0,7.6,11.49,0.72,2.97,2.9,2.43,957.76,4938.15,75.5,43.26,85.92
France,Marseille,2014,15.0,7.07,14.41,1.14,3.4,1.92,2.15,1066.76,4765.61,75.82,44.29,86.13
France,Marseille,2014,53.02,29.26,38.49,0.64,4.07,2.49,4.39,381.64,11688.38,133.56,39.87,82.23
France,Marseille,2014,15.0,7.57,14.5,0.14,4.07,5.93,1.91,559.29,644.27,115.3,51.43,85.12
France,Marseille,2014,15.0,9.46,13.87,0.73,4.54,3.61,4.18,744.16,910.06,88.74,51.96,85.49
France,Marseille,2014,15.0,6.98,11.0,1.17,4.81,6.67,3.9,781.79,1737.36,118.21,51.52,85.56
France,Marseille,2014,15.0,9.72,12.81,0.06,1.53,1.34,1.36,466.47,6826.76,65.07,37.71,84.93
France,Marseille,2014,15.0,7.26,13.43,0.47,3.86,2.64,3.86,671.28,9923.19,91.4,41.18,85.34
France,Marseille,2014,27.32,11.22,22.93,0.77,2.83,4.27,0.82,489.62,9084.36,88.31,38.64,84.16
France,Marseille,2014,19.09,11.91,16.41,0.05,2.49,5.36,3.59,357.81,4886.53,108.02,42.52,84.44
France,Marseille,2014,15.0,6.19,16.07,0.81,3.93,6.37,1.18,468.37,3020.02,103.58,47.96,84.94
France,Marseille,2014,26.94,13.49,24.67,0.83,4.63,5.18,3.38,1077.13,9585.62,131.88,43.47,85.36
France,Marseille,2014,15.0,7.2,16.45,0.61,1.39,1.26,2.98,734.64,3133.05,59.65,40.44,85.47
France,Marseille,2014,15.0,7.98,10.58,0.12,1.68,3.77,1.32,568.76,4819.12,88.94,40.1,85.14
France,Marseille,2014,45.34,27.44,39.51,0.68,2.0,1.3,4.62,827.81,11725.42,104.62,33.61,83.63
France,Marseille,2014,42.18,24.09,34.56,0.91,1.84,5.89,3.86,930.82,4760.54,117.96,39.85,84.05
France,Marseille,2014,58.93,26.18,55.81,0.67,2.45,6.1,4.18,663.2,9538.77,123.69,37.13,82.4
France,Marseille,2014,26.54,18.22,24.05,0.94,1.76,5.67,2.35,767.41,2129.75,120.97,42.19,84.77
France,Marseille,2014,15.0,7.27,14.34,1.03,1.38,6.72,2.41,1060.68,536.52,107.06,42.58,86.12
France,Marseille,2015,15.0,7.89,14.36,1.05,4.75,1.36,1.73,828.1,3086.49,69.72,50.11,85.66
France,Marseille,2015,55.89,36.05,40.26,1.01,2.23,4.81,3.61,801.75,10569.45,131.43,35.09,82.88
France,Marseille,2015,15.0,6.42,15.32,0.68,2.21,1.07,0.76,724.29,10826.86,56.93,35.13,85.45
France,Marseille,2015,45.85,31.17,36.85,0.32,4.7,4.15,3.26,681.94,5425.4,115.45,48.35,83.31
France,Marseille,2015,47.96,21.92,41.42,1.06,3.38,2.32,1.48,409.82,8368.52,89.16,40.71,82.62
